symbol,entry_date,exit_date,holding_days,exit_reason,entry_rank,exit_rank,entry_cmvs,exit_cmvs,entry_rsi,exit_rsi,entry_atr,exit_atr,entry_price,exit_price,peak_return,final_return,forward_return_5d,forward_return_10d,forward_return_20d,post_exit_max_return,post_exit_max_drawdown,days_to_peak,days_to_trough,missed_upside,saved_drawdown
AMZN,2023-10-03,2023-10-04,1,ema9_break,7,7,0.1791890614158415,0.1791890614158415,35.933371639412215,40.731911069451996,3.792603604851503,3.7102747759335384,128.06,126.06,0.0,-0.01561767921286894,0.04577185467237821,0.01642075202284632,0.08678407107726471,0.08678407107726471,-0.0514834205933683,20,16,0.08678407107726471,0.0514834205933683
MSFT,2023-10-03,2023-10-04,1,ema9_break,6,6,0.2106598781414749,0.2106598781414749,39.56713138134667,46.14342121806831,6.409408479331231,6.426593587950431,320.83,314.03,0.0,-0.021195025402861334,0.05856128395376259,0.051205298856797254,0.10202846861764803,0.10202846861764803,0.01697290067827928,20,1,0.10202846861764803,-0.01697290067827928
ADBE,2023-10-03,2023-10-04,1,ema9_break,8,8,0.17654944732506495,0.17654944732506495,41.14176982219679,47.19248953915821,13.46579648084643,13.413239589357401,517.52,511.93,0.0,-0.01080151491729786,0.0741898306409079,0.08973883148086648,0.06362197956751903,0.09407536186588006,-0.0074424237688746064,9,17,0.09407536186588006,0.0074424237688746064
NFLX,2023-10-03,2023-10-04,1,ema9_break,11,11,0.14512201886826645,0.14512201886826645,32.29083413780228,32.39505891996279,1.0962725592151754,1.065110233556949,37.71,37.65,0.0,-0.0015910898965791898,-0.028154050464807345,-0.08047808764940245,0.11606905710491389,0.11606905710491389,-0.08047808764940245,20,10,0.11606905710491389,0.08047808764940245
TSLA,2023-10-03,2023-10-04,1,ema9_break,3,3,0.26052595682432445,0.26052595682432445,45.74219592502645,55.28900904835089,10.050385367570613,10.427500698458427,248.61,248.14,0.0,-0.001890511242508497,0.05984524864995566,-0.022003707584428045,-0.17119368098653986,0.06238413798662057,-0.2046425405013298,4,18,0.06238413798662057,0.2046425405013298
AAPL,2023-10-03,2023-10-04,1,ema9_break,9,9,0.16949621455151814,0.16949621455151814,41.791997678359444,44.62607130605349,3.521815447975799,3.5016857731203856,172.26,171.09,0.0008127249506559853,-0.006792058516196353,0.05090887836811042,0.027763165585364513,0.01683324566017874,0.05622771640656965,-0.0245484832544276,6,16,0.05622771640656965,0.0245484832544276
META,2023-10-03,2023-10-04,1,ema9_break,2,2,0.3237305151448727,0.3237305151448727,50.4083885784591,54.18730849482977,8.674465192408015,8.65486053580744,304.26,298.73,0.0,-0.018175244856372785,0.09737890402704785,0.06105848090248722,0.04391925819301701,0.09737890402704785,-0.034747096039902226,5,16,0.09737890402704785,0.034747096039902226
COST,2023-10-03,2023-10-09,6,ema9_break,1,1,0.4345353139943313,0.4345353139943313,55.96202277824016,49.541761854553144,8.951932412281138,10.297160860765349,571.1,555.0,0.0012257047802484156,-0.028191209945718776,0.031063063063063057,-0.004882882882882966,0.026702702702702696,0.03538738738738734,-0.021567567567567614,7,14,0.03538738738738734,0.021567567567567614
NVDA,2023-10-03,2023-10-18,15,ema9_break,5,5,0.22552823582671747,0.22552823582671747,47.2267523393907,39.823695530028054,1.532888491400226,1.6241028266333943,44.81,42.59,0.047757197054228984,-0.0495425128319571,-0.01901854895515387,-0.006104719417703852,0.14792204742897397,0.1660014087814039,-0.053064099553886024,19,6,0.1660014087814039,0.053064099553886024
GOOGL,2023-10-03,2023-10-19,16,ema9_break,4,4,0.2408357485790965,0.2408357485790965,49.39909464977039,54.859647160453896,2.8972457367458735,2.891397232901052,133.94,138.5,0.0493504554278037,0.03404509481857554,-0.11711191335740068,-0.07949458483754512,-0.011335740072202172,0.002238267148014561,-0.11790613718411547,3,6,0.002238267148014561,0.11790613718411547
GOOGL,2023-11-02,2023-11-03,1,ema9_break,10,10,0.18678603685812847,0.18678603685812847,42.4232633057594,45.67913111800187,3.470403936260286,3.368232226527409,128.42,128.02,0.0,-0.0031147796293410357,0.035697547258240814,0.05694422746445871,0.009764099359474976,0.08178409623496319,0.009764099359474976,13,20,0.08178409623496319,-0.009764099359474976
TSLA,2023-11-02,2023-11-10,8,ema9_break,11,11,0.18469036496184457,0.18469036496184457,43.17245654400322,42.41200435729776,11.045870350987427,10.614827554085576,212.97,210.03,0.043245527539089945,-0.013804761233976559,0.11555492072561058,0.12402990049040619,0.14145598247869362,0.17468933009570065,0.06513355234966434,11,1,0.17468933009570065,-0.06513355234966434
